index,cumulative_profit,moving_average
0,1.25,
1,2.08,
2,2.98,
7,3.7,
10,2.7,
12,3.8000000000000003,
13,5.17,
14,5.864,
15,6.694,
16,5.694,3.9932000000000003
18,6.524,4.5206
20,5.524,4.865
21,4.524,5.019399999999999
23,3.524,5.0018
24,4.894,5.2212000000000005
25,5.894,5.4306
28,6.724,5.586
29,8.344000000000001,5.834
31,7.344000000000001,5.899
32,6.344000000000001,5.964
33,5.344000000000001,5.846
39,5.9140000000000015,5.885000000000001
41,7.1640000000000015,6.149000000000001
42,7.9940000000000015,6.596000000000001
43,6.9940000000000015,6.806
51,5.9940000000000015,6.816000000000001
54,6.714000000000001,6.815000000000002
56,5.714000000000001,6.552000000000001
58,6.601000000000001,6.477700000000001
62,8.101,6.653400000000002
63,7.101000000000001,6.829100000000001
64,7.901000000000001,7.027800000000002
65,6.901000000000001,7.001500000000002
66,5.901000000000001,6.792200000000001
67,6.731000000000001,6.7659
70,7.561000000000001,6.922600000000001
71,8.811,7.132300000000001
72,7.811,7.342000000000001
75,6.811,7.363000000000001
78,5.811,7.134
