date,league,t1,t2,bet_type,bet_line,ROI,fair_odds,odds,House,url,status
2024-01-20,LOL - LCK Spring,Nongshim RedForce,Gen.G,over,total_dragons 4.5,45.83%,1.71,2.5,Bet365,https://www.bet365.com/#/AC/B151/C20930782/D19/E18727921/F19/,loss
2024-01-20,LOL - LCK Spring,Nongshim RedForce,Gen.G,over,total_towers 10.5,30.83%,1.2,1.57,Bet365,https://www.bet365.com/#/AC/B151/C20930782/D19/E18727921/F19/,win
2024-01-20,LOL - LCK Spring,Nongshim RedForce,Gen.G,over,total_kills 22.5,6.75%,1.71,1.83,Bet365,https://www.bet365.com/#/AC/B151/C20930782/D19/E18727921/F19/,loss
2024-01-20,LOL - LCK Spring,Nongshim RedForce,Gen.G,over,game_duration 28.5,37.25%,1.33,1.83,Bet365,https://www.bet365.com/#/AC/B151/C20930782/D19/E18727921/F19/,loss
2024-01-20,LOL - LCK Spring,Nongshim RedForce,Gen.G,under,total_inhibitors 1.5,6.75%,1.71,1.83,Bet365,https://www.bet365.com/#/AC/B151/C20930782/D19/E18727921/F19/,win
2024-01-20,LOL - LCK Spring,Nongshim RedForce,Gen.G,over,total_barons 1.5,41.67%,2.4,3.4,Bet365,https://www.bet365.com/#/AC/B151/C20930782/D19/E18727921/F19/,loss
2024-01-20,LOL - LEC Winter,SK Gaming,Team Heretics,over,total_dragons 4.5,7.33%,1.5,1.61,Bet365,https://www.bet365.com/#/AC/B151/C20932079/D19/E18801531/F19/,win
2024-01-20,LOL - LEC Winter,SK Gaming,Team Heretics,under,total_towers 12.5,80.00%,1.0,1.8,Bet365,https://www.bet365.com/#/AC/B151/C20932079/D19/E18801531/F19/,loss
2024-01-20,LOL - LEC Winter,SK Gaming,Team Heretics,under,total_kills 24.5,52.50%,1.2,1.83,Bet365,https://www.bet365.com/#/AC/B151/C20932079/D19/E18801531/F19/,win
2024-01-20,LOL - LEC Winter,SK Gaming,Team Heretics,over,game_duration 31.5,22.00%,1.5,1.83,Bet365,https://www.bet365.com/#/AC/B151/C20932079/D19/E18801531/F19/,loss
2024-01-20,LOL - LEC Winter,SK Gaming,Team Heretics,under,total_inhibitors 1.5,25.00%,2.0,2.5,Bet365,https://www.bet365.com/#/AC/B151/C20932079/D19/E18801531/F19/,win
2024-01-20,LOL - LEC Winter,SK Gaming,Team Heretics,over,total_barons 1.5,33.33%,1.5,2.0,Bet365,https://www.bet365.com/#/AC/B151/C20932079/D19/E18801531/F19/,win
2024-01-20,LOL - LEC Winter,MAD Lions KOI,G2 Esports,over,total_dragons 4.5,46.67%,1.5,2.2,Bet365,https://www.bet365.com/#/AC/B151/C20932079/D19/E18801581/F19/,loss
2024-01-20,LOL - LEC Winter,MAD Lions KOI,G2 Esports,over,game_duration 30.5,22.00%,1.5,1.83,Bet365,https://www.bet365.com/#/AC/B151/C20932079/D19/E18801581/F19/,win
2024-01-20,LOL - LEC Winter,MAD Lions KOI,G2 Esports,over,total_inhibitors 1.5,25.00%,1.2,1.5,Bet365,https://www.bet365.com/#/AC/B151/C20932079/D19/E18801581/F19/,loss
2024-01-20,LOL - LEC Winter,MAD Lions KOI,G2 Esports,over,total_barons 1.5,46.67%,1.5,2.2,Bet365,https://www.bet365.com/#/AC/B151/C20932079/D19/E18801581/F19/,win
2024-01-20,LOL - LEC Winter,Fnatic,Team BDS,under,total_kills 26.5,22.00%,1.5,1.83,Bet365,https://www.bet365.com/#/AC/B151/C20932079/D19/E18801533/F19/,loss
2024-01-20,LOL - LEC Winter,Fnatic,Team BDS,under,total_inhibitors 1.5,66.67%,1.5,2.5,Bet365,https://www.bet365.com/#/AC/B151/C20932079/D19/E18801533/F19/,loss
2024-01-20,LOL - LEC Winter,Team Vitality,Rogue,under,total_dragons 4.5,33.33%,1.5,2.0,Bet365,https://www.bet365.com/#/AC/B151/C20932079/D19/E18801534/F19/,win
2024-01-20,LOL - LEC Winter,Team Vitality,Rogue,over,game_duration 31.5,22.00%,1.5,1.83,Bet365,https://www.bet365.com/#/AC/B151/C20932079/D19/E18801534/F19/,loss
2024-01-20,LOL - LEC Winter,Team Vitality,Rogue,under,total_barons 1.5,33.33%,1.5,2.0,Bet365,https://www.bet365.com/#/AC/B151/C20932079/D19/E18801534/F19/,win
2024-01-21,LOL - LEC Winter,SK Gaming,Team BDS,over,total_dragons 4.5,33.33%,1.5,2.0,Bet365,https://www.bet365.com/#/AC/B151/C20932079/D19/E18801535/F19/,loss
2024-01-21,LOL - LEC Winter,SK Gaming,Team BDS,under,total_towers 12.5,50.00%,1.0,1.5,Bet365,https://www.bet365.com/#/AC/B151/C20932079/D19/E18801535/F19/,win
2024-01-21,LOL - LEC Winter,SK Gaming,Team BDS,under,total_kills 25.5,22.00%,1.5,1.83,Bet365,https://www.bet365.com/#/AC/B151/C20932079/D19/E18801535/F19/,loss
2024-01-21,LOL - LEC Winter,SK Gaming,Team BDS,under,total_inhibitors 1.5,108.33%,1.2,2.5,Bet365,https://www.bet365.com/#/AC/B151/C20932079/D19/E18801535/F19/,win
2024-01-21,LOL - LEC Winter,SK Gaming,Team BDS,over,total_barons 1.5,5.00%,2.0,2.1,Bet365,https://www.bet365.com/#/AC/B151/C20932079/D19/E18801535/F19/,loss
2024-01-21,LOL - LEC Winter,Team Vitality,G2 Esports,over,total_towers 12.5,66.67%,1.5,2.5,Bet365,https://www.bet365.com/#/AC/B151/C20932079/D19/E18801536/F19/,loss
2024-01-21,LOL - LEC Winter,Team Vitality,G2 Esports,over,total_inhibitors 1.5,25.00%,1.2,1.5,Bet365,https://www.bet365.com/#/AC/B151/C20932079/D19/E18801536/F19/,loss
2024-01-21,LOL - LEC Winter,Team Vitality,G2 Esports,under,total_barons 1.5,22.00%,1.5,1.83,Bet365,https://www.bet365.com/#/AC/B151/C20932079/D19/E18801536/F19/,win
2024-01-21,LOL - LEC Winter,Team Heretics,Karmine Corp,over,total_dragons 4.5,7.33%,1.5,1.61,Bet365,https://www.bet365.com/#/AC/B151/C20932079/D19/E18801537/F19/,win
2024-01-21,LOL - LEC Winter,Team Heretics,Karmine Corp,under,total_towers 12.5,7.33%,1.5,1.61,Bet365,https://www.bet365.com/#/AC/B151/C20932079/D19/E18801537/F19/,win
2024-01-21,LOL - LEC Winter,Team Heretics,Karmine Corp,over,total_inhibitors 1.5,25.00%,1.2,1.5,Bet365,https://www.bet365.com/#/AC/B151/C20932079/D19/E18801537/F19/,win
2024-01-21,LOL - LEC Winter,Team Heretics,Karmine Corp,over,total_barons 1.5,14.67%,1.5,1.72,Bet365,https://www.bet365.com/#/AC/B151/C20932079/D19/E18801537/F19/,loss
2024-01-21,LOL - LEC Winter,MAD Lions KOI,Rogue,over,total_dragons 4.5,33.33%,1.5,2.0,Bet365,https://www.bet365.com/#/AC/B151/C20932079/D19/E18801582/F19/,loss
2024-01-21,LOL - LEC Winter,MAD Lions KOI,Rogue,under,total_towers 12.5,34.17%,1.2,1.61,Bet365,https://www.bet365.com/#/AC/B151/C20932079/D19/E18801582/F19/,loss
2024-01-21,LOL - LEC Winter,MAD Lions KOI,Rogue,over,game_duration 31.5,22.00%,1.5,1.83,Bet365,https://www.bet365.com/#/AC/B151/C20932079/D19/E18801582/F19/,loss
2024-01-21,LOL - LEC Winter,MAD Lions KOI,Rogue,over,total_barons 1.5,40.00%,1.5,2.1,Bet365,https://www.bet365.com/#/AC/B151/C20932079/D19/E18801582/F19/,loss
2024-01-22,LOL - LEC Winter,MAD Lions KOI,Team BDS,over,total_dragons 4.5,25.00%,2.0,2.5,Bet365,https://www.bet365.com/#/AC/B151/C20932079/D19/E18801583/F19/,win
2024-01-22,LOL - LEC Winter,MAD Lions KOI,Team BDS,under,total_towers 12.5,50.00%,1.0,1.5,Bet365,https://www.bet365.com/#/AC/B151/C20932079/D19/E18801583/F19/,win
2024-01-22,LOL - LEC Winter,MAD Lions KOI,Team BDS,under,game_duration 31.5,22.00%,1.5,1.83,Bet365,https://www.bet365.com/#/AC/B151/C20932079/D19/E18801583/F19/,loss
2024-01-22,LOL - LEC Winter,MAD Lions KOI,Team BDS,under,total_inhibitors 1.5,25.00%,2.0,2.5,Bet365,https://www.bet365.com/#/AC/B151/C20932079/D19/E18801583/F19/,win
2024-01-22,LOL - LEC Winter,MAD Lions KOI,Team BDS,over,total_barons 1.5,25.00%,2.0,2.5,Bet365,https://www.bet365.com/#/AC/B151/C20932079/D19/E18801583/F19/,win
2024-01-22,LOL - LEC Winter,Fnatic,Rogue,over,total_dragons 4.5,7.33%,1.5,1.61,Bet365,https://www.bet365.com/#/AC/B151/C20932079/D19/E18801540/F19/,win
