date,league,t1,t2,game,bet_type,bet_line,ROI,House,status,odds,profit
2023-10-08 16:05:46,CDF,Vitality.Bee,Team du Sud,1,FD,first_dragon Vitality.Bee,18.58%,Dafabet,win,1.694,0.69
2023-10-08 17:01:36,CDF,Vitality.Bee,Team du Sud,2,FD,first_dragon Vitality.Bee,18.58%,Dafabet,loss,1.694,-1.0
2023-10-08 17:47:00,CDF,Vitality.Bee,Team du Sud,3,FD,first_dragon Vitality.Bee,18.58%,Dafabet,loss,1.694,-1.0
2023-10-09 04:09:51,WLDs,Golden Guardians,Team BDS,1,under,total_dragons 4.5,35.00%,Bet365,win,2.25,1.25
2023-10-09 04:51:13,WLDs,Golden Guardians,Team BDS,2,under,total_dragons 4.5,35.00%,Bet365,loss,2.25,-1.0
2023-10-09 05:46:19,WLDs,Team BDS,Golden Guardians,3,under,total_dragons 4.5,35.00%,Bet365,win,2.25,1.25
2023-10-09 04:09:51,WLDs,Golden Guardians,Team BDS,1,under,total_towers 12.5,14.38%,Bet365,win,1.83,0.83
2023-10-09 04:51:13,WLDs,Golden Guardians,Team BDS,2,under,total_towers 12.5,14.38%,Bet365,win,1.83,0.83
2023-10-09 05:46:19,WLDs,Team BDS,Golden Guardians,3,under,total_towers 12.5,14.38%,Bet365,loss,1.83,-1.0
2023-10-09 04:09:51,WLDs,Golden Guardians,Team BDS,1,under,total_kills 27.5,14.00%,Bet365,win,1.9,0.9
2023-10-09 04:51:13,WLDs,Golden Guardians,Team BDS,2,under,total_kills 27.5,14.00%,Bet365,win,1.9,0.9
2023-10-09 05:46:19,WLDs,Team BDS,Golden Guardians,3,under,total_kills 27.5,14.00%,Bet365,win,1.9,0.9
2023-10-09 04:09:51,WLDs,Golden Guardians,Team BDS,1,under,total_inhibitors 1.5,0.00%,Bet365,win,2.5,1.5
2023-10-09 04:51:13,WLDs,Golden Guardians,Team BDS,2,under,total_inhibitors 1.5,0.00%,Bet365,win,2.5,1.5
2023-10-09 05:46:19,WLDs,Team BDS,Golden Guardians,3,under,total_inhibitors 1.5,0.00%,Bet365,loss,2.5,-1.0
2023-10-10 09:10:30,WLDs,LOUD,GAM Esports,1,under,total_dragons 4.5,25.21%,Bet365,win,1.72,0.72
2023-10-10 09:59:06,WLDs,GAM Esports,LOUD,2,under,total_dragons 4.5,25.21%,Bet365,loss,1.72,-1.0
2023-10-10 09:10:30,WLDs,LOUD,GAM Esports,1,over,total_towers 12.5,3.57%,Bet365,win,2.25,1.25
2023-10-10 09:59:06,WLDs,GAM Esports,LOUD,2,over,total_towers 12.5,3.57%,Bet365,win,2.25,1.25
2023-10-10 09:10:30,WLDs,LOUD,GAM Esports,1,under,total_kills 29.5,4.96%,Bet365,win,1.83,0.83
2023-10-10 09:59:06,WLDs,GAM Esports,LOUD,2,under,total_kills 29.5,4.96%,Bet365,loss,1.83,-1.0
2023-10-10 09:10:30,WLDs,LOUD,GAM Esports,1,under,total_inhibitors 1.5,34.93%,Bet365,loss,2.5,-1.0
2023-10-10 09:59:06,WLDs,GAM Esports,LOUD,2,under,total_inhibitors 1.5,34.93%,Bet365,loss,2.5,-1.0
2023-10-10 09:10:30,WLDs,LOUD,GAM Esports,1,under,total_kills 28.5,4.96%,Bet365,win,1.83,0.83
