date,league,t1,t2,bet_type,bet_line,ROI,fair_odds,odds,House,url,status,settlement_sent
2023-11-09,Ultraliga,Orbit Anonymo,Lodis,FD,first_dragon Orbit Anonymo,6.13%,1.5,1.592,Dafabet,https://esports.e1q1j0ov.com/esportsite/index.html?v=231107200000&id=1032&token=&languageCode=0&liveStream=1&theme=default&streamer=1&streamerLiveStream=1#/,pending,0.0
2023-11-11,LOL - World Champs,Bilibili Gaming,Weibo Gaming,under,game_duration 32.5,28.10%,1.43,1.83,Bet365,https://www.bet365.com/#/AC/B151/C20902720/D19/E18262904/F19/,win,1.0
2023-11-11,LOL - World Champs,Bilibili Gaming,Weibo Gaming,under,total_barons 1.5,5.00%,2.0,2.1,Bet365,https://www.bet365.com/#/AC/B151/C20902720/D19/E18262904/F19/,win,1.0
2023-11-11,2023 World Championship,Bilibili Gaming,Weibo Gaming,under,game_duration 32.0,24.81%,1.48,1.849,Dafabet,https://esports.e1q1j0ov.com/esportsite/index.html?v=231102200000&id=1032&token=&languageCode=0&liveStream=1&theme=default&streamer=1&streamerLiveStream=1#/,win,1.0
2023-11-11,2023 World Championship,Bilibili Gaming,Weibo Gaming,under,game_duration 32.0,24.81%,1.48,1.849,Pinnacle,https://esports.e1q1j0ov.com/esportsite/index.html?v=231104200000&id=1032&token=&languageCode=0&liveStream=1&theme=default&streamer=1&streamerLiveStream=1#/,pending,0.0
2023-11-11,League of Legends - World Championship,Bilibili Gaming,Weibo Gaming,under,total_dragons 4.5,5.40%,1.74,1.833,Pinnacle,https://www.pinnacle.com/pt/esports/league-of-legends-emea-masters/orbit-anonymo-vs-bisons/1581437463/#all,win,1.0
2023-11-11,LOL - Iberian Cup,Los Heretics,Finetwork KOI,under,total_dragons 4.5,31.25%,1.6,2.1,Bet365,https://www.bet365.com/#/AC/B151/C20924101/D19/E18300379/F19/,win,1.0
2023-11-11,LOL - Iberian Cup,Los Heretics,Finetwork KOI,under,total_towers 13.5,7.94%,1.45,1.57,Bet365,https://www.bet365.com/#/AC/B151/C20924101/D19/E18300379/F19/,win,1.0
2023-11-11,LOL - Iberian Cup,Los Heretics,Finetwork KOI,under,game_duration 31.5,14.38%,1.6,1.83,Bet365,https://www.bet365.com/#/AC/B151/C20924101/D19/E18300379/F19/,win,1.0
2023-11-12,LOL - World Champs,JD Gaming,T1,under,total_towers 11.5,35.00%,1.67,2.25,Bet365,https://www.bet365.com/#/AC/B151/C20902720/D19/E18275493/F19/,win,1.0
